id,modulo,teoremas,fuente_descripcion,pilar,categoria,descripcion,dependencias,nombres,INTERPRETACION_objeto,INTERPRETACION_morfismos
mathlib-algebra-order,Mathlib.Algebra.Order,5140,títulos del subárbol,SET,algebra,algebra order: Ordered scalar multiplication and vector addition; Ordered algebras; Chebyshev's sum inequality; Conditionally complete linear ordered fields; `Disjointed` for functions on a `SuccAddOrder`; Lemmas about `invOf` in ordered (semi)rings.,mathlib-algebra-bigoperators | mathlib-algebra-directsum | mathlib-algebra-star | mathlib-data-enat | mathlib-data-ennreal | mathlib-data-fin,Order | LinearOrderedAddCommMonoidWithTop | LinearOrderedAddCommGroupWithTop | IsOrderedVAdd | IsOrderedSMul,,
mathlib-analysis-specialfunctions,Mathlib.Analysis.SpecialFunctions,3906,títulos del subárbol,SET,analysis,analysis special functions: Inverse of the cosh function; The arithmetic-geometric mean; Inverse of the sinh function; Inverse of the tanh function; Bernstein approximations and Weierstrass' theorem; Properties of Shannon q-ary entropy and binary entropy functions,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-analysis-asymptotics | mathlib-analysis-complex | mathlib-analysis-convex,SpecialFunctions | IsExpCmpFilter,,
mathlib-data-set,Mathlib.Data.Set,2852,Basic,SET,algebra,Basic properties of sets Sets in Lean are homogeneous; all their elements have the same type. Sets whose elements have type X are thus defined as Set X := X → Prop . Note that this function need not be decidable. The definition is in the module Mathlib/Data/Set/Defs.lean . This f,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-enat | mathlib-data-finset | mathlib-data-list | mathlib-data-nat,Set,,
mathlib-categorytheory-limits,Mathlib.CategoryTheory.Limits,2834,títulos del subárbol,CAT,category-theory,category theory limits: Limits and colimits in comma categories; Limits and the category of (co)cones; Cones and cocones; Connected limits; Creating (co)limits; Limits in the category of elements,mathlib-algebra-category | mathlib-categorytheory-adjunction | mathlib-categorytheory-monoidal | mathlib-categorytheory-morphismproperty | mathlib-categorytheory-objectproperty | mathlib-data-fin,Limits | Cone | Cocone | ConeMorphism | CoconeMorphism,,
mathlib-algebra-polynomial,Mathlib.Algebra.Polynomial,2380,Basic,SET,algebra,"Theory of univariate polynomials This file defines Polynomial R , the type of univariate polynomials over the semiring R , builds a semiring structure on it, and gives basic definitions that are expanded in other files in this directory. Main definitions monomial n a is the polyn",mathlib-algebra-bigoperators | mathlib-algebra-charp | mathlib-algebra-monoidalgebra | mathlib-algebra-mvpolynomial | mathlib-algebra-order | mathlib-data-enat,Polynomial | CAlgHom,,
mathlib-data-finset,Mathlib.Data.Finset,2292,Basic,SET,algebra,"Basic lemmas on finite sets This file contains lemmas on the interaction of various definitions on the Finset type. For an explanation of Finset design decisions, please see Mathlib/Data/Finset/Defs.lean . Main declarations Main definitions Finset.choose : Given a proof h of exis",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-fin | mathlib-data-finsupp | mathlib-data-int | mathlib-data-list,Finset,,
mathlib-order-filter,Mathlib.Order.Filter,2192,Basic,SET,set-theory,"Theory of filters on sets A filter on a type α is a collection of sets of α which contains the whole α , is upwards-closed, and is stable under intersection. They are mostly used to abstract two related kinds of ideas: limits , including finite or infinite limits of sequences, fi",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-analysis-asymptotics | mathlib-data-finset | mathlib-data-int | mathlib-data-nat,Filter | CardinalInterFilter | CountableInterFilter | HasCountableSeparatingOn | IsCountablyGenerated,,
mathlib-data-nat,Mathlib.Data.Nat,1916,Basic,SET,algebra,Basic operations on the natural numbers This file builds on Mathlib/Data/Nat/Init.lean by adding basic lemmas on natural numbers depending on Mathlib definitions. See note [foundational algebra order theory].,mathlib-algebra-bigoperators | mathlib-algebra-charp | mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-data-enat | mathlib-data-fin,Nat | AtLeastTwo,,
mathlib-order-interval,Mathlib.Order.Interval,1916,Basic,SET,set-theory,Order intervals This file defines (nonempty) closed intervals in an order (see Set.Icc ). This is a prototype for interval arithmetic. Main declarations NonemptyInterval : Nonempty intervals. Pairs where the second element is greater than the first. Interval : Intervals. Either ∅,mathlib-algebra-order | mathlib-data-finset | mathlib-data-int | mathlib-data-nat | mathlib-data-set | mathlib-order-booleanalgebra,Interval | NonemptyInterval | Icc | Ico | Ioc,,
mathlib-measuretheory-integral,Mathlib.MeasureTheory.Integral,1871,títulos del subárbol,SET,probability,measure theory integral: Bounding of integrals by asymptotics; Integral average of a function; Integration of bounded continuous functions; Circle Averages; Integral over a circle in `ℂ`; Circle integral transform,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-analysis-boxintegral | mathlib-analysis-specialfunctions | mathlib-measuretheory-group | mathlib-order-filter,Integral | CircleIntegrable | FinMeasAdditive | DominatedFinMeasAdditive | StronglyMeasurableAtFilter,,
mathlib-data-list,Mathlib.Data.List,1835,Basic,SET,algebra,"Definitions on lists This file contains various definitions on lists. It does not contain proofs about these definitions, those are contained in other files in Data.List",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-fin | mathlib-data-multiset | mathlib-data-nat | mathlib-data-set,List | AList | Disjoint | Cycle | Mem,,
mathlib-analysis-convex,Mathlib.Analysis.Convex,1708,Basic,SET,analysis,"Convex sets In a 𝕜-vector space, we define the following property: Convex 𝕜 s : A set s is convex if for any two points x y ∈ s it includes segment 𝕜 x y . We provide various equivalent versions, and prove that some specific sets are convex. TODO Generalize all this file to affin",mathlib-algebra-bigoperators | mathlib-algebra-charp | mathlib-algebra-order | mathlib-analysis-locallyconvex | mathlib-analysis-rclike | mathlib-analysis-specialfunctions,Convex | AmpleSet | Wbtw | Sbtw | ConvexBody,,
mathlib-topology-order,Mathlib.Topology.Order,1486,docstring propio,SET,topology,"Ordering on topologies and (co)induced topologies Topologies on a fixed type α are ordered, by reverse inclusion. That is, for topologies t₁ and t₂ on α , we write t₁ ≤ t₂ if every set open in t₂ is also open in t₁ . (One also calls t₁ finer than t₂ , and t₂ coarser than t₁ .) An",mathlib-data-ereal | mathlib-data-set | mathlib-order-filter | mathlib-order-hom | mathlib-order-interval | mathlib-order-succpred,Order | IndiscreteTopology | NontrivialTopology | DiscreteTopology | OrderTopology,,
mathlib-analysis-complex,Mathlib.Analysis.Complex,1366,Basic,SET,analysis,"Normed space structure on ℂ . This file gathers basic facts of analytic nature on the complex numbers. Main results This file registers ℂ as a normed field, expresses basic properties of the norm, and gives tools on the real vector space structure of ℂ . Notably, it defines the f",mathlib-algebra-charp | mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-analysis-asymptotics | mathlib-analysis-convex | mathlib-analysis-locallyconvex,Complex | Circle,,
mathlib-categorytheory-monoidal,Mathlib.CategoryTheory.Monoidal,1316,títulos del subárbol,CAT,category-theory,category theory monoidal: The category of bimodule objects over a pair of monoid objects.; The category of bimonoids in a braided monoidal category.; Monoidal categories; Half braidings and the Drinfeld center of a monoidal category; Lemmas which are consequences of monoidal cohe,mathlib-algebra-category | mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-objectproperty,Monoidal | Bimod | Hom | BimonObj | IsBimonHom,,
mathlib-geometry-euclidean,Mathlib.Geometry.Euclidean,1281,Basic,SET,geometry,Euclidean spaces This file makes some definitions and proves very basic geometrical results about real inner product spaces and Euclidean affine spaces. Results about real inner product spaces that involve the norm and inner product but not angles generally go in Analysis.NormedS,mathlib-analysis-convex | mathlib-analysis-specialfunctions | mathlib-topology-instances,Euclidean | ExcenterExists | OrthocentricSystem,,
mathlib-algebra-lie,Mathlib.Algebra.Lie,1228,Basic,SET,algebra,"Lie algebras This file defines Lie rings and Lie algebras over a commutative ring together with their modules, morphisms and equivalences, as well as various lemmas to make these definitions usable. Main definitions LieRing LieAlgebra LieRingModule LieModule LieHom LieEquiv LieMo",mathlib-algebra-directsum | mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-data-finset | mathlib-data-int | mathlib-data-matrix,Lie | IsTrivial | IsLieAbelian | TrivialLieModule | LieRing,,
mathlib-combinatorics-matroid,Mathlib.Combinatorics.Matroid,1180,Basic,SET,combinatorics,"Matroids A Matroid is a structure that combinatorially abstracts the notion of linear independence and dependence; matroids have connections with graph theory, discrete optimization, additive combinatorics and algebraic geometry. Mathematically, a matroid M is a structure on a se",mathlib-data-enat | mathlib-data-set | mathlib-order-interval | mathlib-order-upperlower,Matroid | ExchangeProperty | ExistsMaximalSubsetProperty | Finite | Nonempty,,
mathlib-algebra-bigoperators,Mathlib.Algebra.BigOperators,1100,títulos del subárbol,SET,algebra,"algebra big operators: Products of associated, prime, and irreducible elements.; Balancing a function; Average over a finset; Results about big operators with values in a field; Big operators and `Fin`; Finite products and sums over types and sets",mathlib-algebra-charp | mathlib-algebra-order | mathlib-data-finset | mathlib-data-finsupp | mathlib-data-int | mathlib-data-list,BigOperators,,
mathlib-algebraicgeometry-ellipticcurve,Mathlib.AlgebraicGeometry.EllipticCurve,1030,títulos del subárbol,SET,geometry,algebraic geometry elliptic curve: Elliptic curves with same j-invariants are isomorphic; Models of elliptic curves with prescribed j-invariant; Some normal forms of elliptic curves; Reduction of Weierstrass curves over local fields; Change of variables of Weierstrass curves; Wei,mathlib-algebra-charp | mathlib-algebra-mvpolynomial | mathlib-algebra-polynomial | mathlib-data-fin | mathlib-ringtheory-polynomial,EllipticCurve | IsCharNeTwoNF | IsShortNF | IsCharThreeJNeZeroNF | IsCharTwoJNeZeroNF,,
mathlib-algebra-category,Mathlib.Algebra.Category,999,títulos del subárbol,SET,algebra,algebra category: The category of Boolean rings; The category of commutative bialgebras over a commutative ring; The category of groups with zero; Category instance for algebras over a commutative ring; The category of R-algebras has all limits; The monoidal category structure on,mathlib-algebra-bigoperators | mathlib-algebra-directsum | mathlib-algebra-mvpolynomial | mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-monoidal,Category | BoolRing | Hom | CommBialgCat | GrpWithZero,,
mathlib-ringtheory-polynomial,Mathlib.RingTheory.Polynomial,884,Basic,SET,algebra,"Ring-theoretic supplement of Algebra.Polynomial. Main results MvPolynomial.isDomain : If a ring is an integral domain, then so is its polynomial ring over finitely many variables. Polynomial.isNoetherianRing : Hilbert basis theorem, that if a ring is Noetherian then so is its pol",mathlib-algebra-charp | mathlib-algebra-monoidalgebra | mathlib-algebra-mvpolynomial | mathlib-algebra-polynomial | mathlib-analysis-complex | mathlib-analysis-specialfunctions,Polynomial | IsPrimitive,,
mathlib-data-multiset,Mathlib.Data.Multiset,867,Basic,SET,algebra,Multisets Multisets are finite sets with duplicates allowed. They are implemented here as the quotient of lists by permutation. This gives them computational content. This file contains the definition of Multiset and the basic predicates. Most operations have been split off into ,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-dfinsupp | mathlib-data-list | mathlib-data-nat | mathlib-data-set,Multiset | Mem | Subset | Pairwise | Nodup,,
